Àðòèêóë;x1;y1;x2;y2;x3;y3;x4;y4;x5;y5;x6;y6
100041;27;59;27;59;27;59;0;0;0;0;0;0
100042;35;77;35;77;35;77;0;0;0;0;0;0
100043;43;94;43;94;43;94;0;0;0;0;0;0
100044;51;112;51;112;51;112;0;0;0;0;0;0
100101;27;49;27;50;27;49;0;0;0;0;0;0
100102;35;64;35;64;35;64;0;0;0;0;0;0
100103;43;79;43;79;43;79;0;0;0;0;0;0
100104;51;93;51;93;51;93;0;0;0;0;0;0
100581;27;62;27;62;27;62;0;0;0;0;0;0
100582;35;80;35;80;35;80;0;0;0;0;0;0
100583;43;98;43;98;43;98;0;0;0;0;0;0
100584;51;116;51;116;51;116;0;0;0;0;0;0
100771;19;46;19;46;19;46;0;0;0;0;0;0
100772;26;64;26;64;26;64;0;0;0;0;0;0
100773;34;81;34;81;34;81;0;0;0;0;0;0
100774;41;99;41;99;41;99;0;0;0;0;0;0
101081;19;47;19;47;19;47;0;0;0;0;0;0
101082;26;65;26;65;26;65;0;0;0;0;0;0
101083;34;82;34;82;34;82;0;0;0;0;0;0
101084;41;101;41;101;41;101;0;0;0;0;0;0
101401;29;29;29;29;29;29;0;0;0;0;0;0
101402;39;39;39;39;39;39;0;0;0;0;0;0
101403;48;49;48;49;48;49;0;0;0;0;0;0
101404;58;59;58;59;58;59;0;0;0;0;0;0
101441;29;44;29;44;0;0;0;0;0;0;0;0
101442;40;61;40;61;0;0;0;0;0;0;0;0
101443;51;77;51;77;0;0;0;0;0;0;0;0
101444;63;95;63;95;0;0;0;0;0;0;0;0
101451;14;37;17;50;22;59;17;50;13;37;0;0
101452;18;49;23;66;29;79;23;66;18;49;0;0
101453;23;61;29;83;36;99;29;83;22;61;0;0
101454;27;74;35;99;43;119;35;99;27;74;0;0
101561;19;49;19;49;19;49;0;0;0;0;0;0
101562;26;68;26;68;26;68;0;0;0;0;0;0
101563;34;87;34;87;34;87;0;0;0;0;0;0
101564;41;107;41;107;41;107;0;0;0;0;0;0
101831;19;18;19;18;19;18;19;18;19;18;19;18
101832;26;25;26;25;26;25;26;25;26;25;26;25
101833;34;32;34;32;34;32;34;32;34;32;34;32
101834;41;39;41;39;41;39;41;39;41;39;41;39
102251;17;36;23;51;23;51;17;35;0;0;0;0
